IndicatorId,Indicator Name,CategoryId,Category
AFR0016,Suicide rate (per 100 000 population) - [SDG 3.4.2],1125,Male (75-84 years)
AFR0017,Death rate due to road traffic injuries (per 100 000 population) [SDG 3.6.1],8,Male
AFR0017,Death rate due to road traffic injuries (per 100 000 population) [SDG 3.6.1],9,Female
AFR0017,Death rate due to road traffic injuries (per 100 000 population) [SDG 3.6.1],28,Both sexes (male and female)
AFR0017,Death rate due to road traffic injuries (per 100 000 population) [SDG 3.6.1],29,Total
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),2,Infants (0-11 Months)
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),27,65+ years
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),70,0-4 years
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),71,5-9 years
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),72,10-14 years
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),73,15-19 years
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),74,20-24 years
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),75,25-29 years
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),76,30-34 years
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),77,35-39 years
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),78,40-44 years
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),79,45-49 years
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),80,50-54 years
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),81,55-59 years
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),82,60-64 years
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),83,65-69 years
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),84,70-74 years
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),85,75-79 years
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),86,80-84 years
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),87,85+ years
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),88,Male (0-4 years)
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),89,Male (5-9 years)
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),90,Male (10-14 years)
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),91,Male ((15-19 years)
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),92,Male (20-24 years)
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),93,Male (25-29 years)
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),94,Male (30-34 years)
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),95,Male (35-39 years)
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),96,Male (40-44 years)
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),97,Male (45-49 years)
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),98,Male (50-54 years)
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),99,Male (55-59 years)
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),100,Male (60-64 years)
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),101,Male (65-69 years)
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),102,Male (70-74 years)
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),103,Male (75-79 years)
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),104,Male (80-84 years)
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),105,Male (85+ years)
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),106,Female (0-4 years)
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),107,Female (10-14 years)
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),108,Female (5-9 years)
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),109,Female (15-19 years)
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),110,Female (20-24 years)
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),111,Female (25-29 years)
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),112,Female (30-34 years)
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),113,Female (35-39 years)
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),114,Female (40-44 years)
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),115,Female (45-49 years)
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),116,Female (50-54 years)
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),117,Female (55-59 years)
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),118,Female (60-64 years)
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),119,Female (65-69 years)
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),120,Female (70-74 years)
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),121,Female (75-79 years)
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),122,Female (80-84 years)
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),123,Female (85+ years)
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),1009,100+ years
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),1010,85-89 years
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),1011,90-94 years
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),1012,95-99 years
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),1015,<12 months
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),1087,Female (<1year)
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),1088,Male (<1 year)
AFR0018,Population by age (under 1; 1-5; 6-12; 13-25; 26-49; 50-64; over 65 years),1090,Both sexes 0-5 years
AFR0019,Number of people living with HIV,6,Adult (15+ Years)
AFR0019,Number of people living with HIV,25,0-14 years
AFR0019,Number of people living with HIV,28,Both sexes (male and female)
AFR0019,Number of people living with HIV,29,Total
AFR0020,HIV prevalence rate (per 1000 population),6,Adult (15+ Years)
AFR0020,HIV prevalence rate (per 1000 population),28,Both sexes (male and female)
AFR0020,HIV prevalence rate (per 1000 population),29,Total
AFR0020,HIV prevalence rate (per 1000 population),35,Male (15-24 years)
AFR0020,HIV prevalence rate (per 1000 population),36,Female (15-24 years)
AFR0020,HIV prevalence rate (per 1000 population),37,Both sexes (15-24 years)
AFR0020,HIV prevalence rate (per 1000 population),42,Female (15+ years)
AFR0020,HIV prevalence rate (per 1000 population),45,Male (15+ years)
AFR0020,HIV prevalence rate (per 1000 population),65,Both sexes (15-49 yeras)
AFR0020,HIV prevalence rate (per 1000 population),66,Female (15-49 years)
AFR0020,HIV prevalence rate (per 1000 population),67,Male (15-49 years)
AFR0021,Prevalence of obesity in persons aged 18+years,28,Both sexes (male and female)
AFR0021,Prevalence of obesity in persons aged 18+years,29,Total
AFR0023,Proportion of population using improved drinking-water sources (%),8,Male
AFR0023,Proportion of population using improved drinking-water sources (%),9,Female
AFR0023,Proportion of population using improved drinking-water sources (%),11,Rural
AFR0023,Proportion of population using improved drinking-water sources (%),12,Urban
AFR0023,Proportion of population using improved drinking-water sources (%),28,Both sexes (male and female)
AFR0023,Proportion of population using improved drinking-water sources (%),29,Total
AFR0024,Proportion of population using improved sanitation (%),8,Male
AFR0024,Proportion of population using improved sanitation (%),9,Female
AFR0024,Proportion of population using improved sanitation (%),11,Rural
AFR0024,Proportion of population using improved sanitation (%),12,Urban
AFR0024,Proportion of population using improved sanitation (%),28,Both sexes (male and female)
AFR0024,Proportion of population using improved sanitation (%),29,Total
AFR0024,Proportion of population using improved sanitation (%),1066,National-Safety managed
AFR0024,Proportion of population using improved sanitation (%),1067,National-Disposal in situ
AFR0024,Proportion of population using improved sanitation (%),1068,National-Empiled and treated
AFR0024,Proportion of population using improved sanitation (%),1069,National-Wastewater treated
AFR0024,Proportion of population using improved sanitation (%),1070,National-Latrines and other
AFR0024,Proportion of population using improved sanitation (%),1071,National-Septic tanks
AFR0024,Proportion of population using improved sanitation (%),1072,National-Sewer connections
AFR0024,Proportion of population using improved sanitation (%),1073,Rural-Safety managed
AFR0024,Proportion of population using improved sanitation (%),1074,Rural-Disposal in situ
AFR0024,Proportion of population using improved sanitation (%),1075,Rural-Empiled and treated
AFR0024,Proportion of population using improved sanitation (%),1076,Rural-Wastewater treated
AFR0024,Proportion of population using improved sanitation (%),1077,Rural-Latrines and other
AFR0024,Proportion of population using improved sanitation (%),1078,Rural-Septic tanks
AFR0024,Proportion of population using improved sanitation (%),1079,Rural-Sewer connections
AFR0024,Proportion of population using improved sanitation (%),1080,Urban-Safety managed
AFR0024,Proportion of population using improved sanitation (%),1081,Urban-Disposal in situ
AFR0024,Proportion of population using improved sanitation (%),1082,Urban-Empiled and treated
AFR0024,Proportion of population using improved sanitation (%),1083,Urban-Wastewater treated
AFR0024,Proportion of population using improved sanitation (%),1084,Urban-Latrines and other
AFR0024,Proportion of population using improved sanitation (%),1085,Urban-Septic tanks
AFR0024,Proportion of population using improved sanitation (%),1086,Urban-Sewer connections
AFR0025,People practicing open defecation (%) of population),11,Rural
AFR0025,People practicing open defecation (%) of population),12,Urban
AFR0025,People practicing open defecation (%) of population),28,Both sexes (male and female)
AFR0025,People practicing open defecation (%) of population),29,Total
AFR0026,Annual mean concentrations of fine particulate matter (PM2.5) in urban areasÂ (µg/m3),12,Urban
AFR0026,Annual mean concentrations of fine particulate matter (PM2.5) in urban areasÂ (µg/m3),29,Total
AFR0026,Annual mean concentrations of fine particulate matter (PM2.5) in urban areasÂ (µg/m3),999,Not Applicable
AFR0027,Average death rate due to natural disasters y (per 100 000 population),28,Both sexes (male and female)
AFR0027,Average death rate due to natural disasters y (per 100 000 population),29,Total
AFR0028,Number of victims of intentional homicide per 100 000 population,8,Male
AFR0028,Number of victims of intentional homicide per 100 000 population,9,Female
AFR0028,Number of victims of intentional homicide per 100 000 population,28,Both sexes (male and female)
AFR0029,Estimated direct deaths from major conflicts (per 100 000 population),8,Male
AFR0029,Estimated direct deaths from major conflicts (per 100 000 population),9,Female
AFR0029,Estimated direct deaths from major conflicts (per 100 000 population),28,Both sexes (male and female)
AFR0030,"Children in employment, total (% of children ages 7-14)",8,Male
AFR0030,"Children in employment, total (% of children ages 7-14)",9,Female
AFR0030,"Children in employment, total (% of children ages 7-14)",28,Both sexes (male and female)
AFR0030,"Children in employment, total (% of children ages 7-14)",1039,5-14 years
AFR0031,Net official development assistance received (current US$),999,Not Applicable
AFR0032,"Unemployment, total (% of total labor force) (modelled ILO estimate)",8,Male
AFR0032,"Unemployment, total (% of total labor force) (modelled ILO estimate)",9,Female
AFR0032,"Unemployment, total (% of total labor force) (modelled ILO estimate)",11,Rural
AFR0032,"Unemployment, total (% of total labor force) (modelled ILO estimate)",12,Urban
AFR0032,"Unemployment, total (% of total labor force) (modelled ILO estimate)",28,Both sexes (male and female)
AFR0032,"Unemployment, total (% of total labor force) (modelled ILO estimate)",29,Total
AFR0032,"Unemployment, total (% of total labor force) (modelled ILO estimate)",35,Male (15-24 years)
AFR0032,"Unemployment, total (% of total labor force) (modelled ILO estimate)",36,Female (15-24 years)
AFR0032,"Unemployment, total (% of total labor force) (modelled ILO estimate)",37,Both sexes (15-24 years)
AFR0032,"Unemployment, total (% of total labor force) (modelled ILO estimate)",38,Both sexes (25+ years)
AFR0032,"Unemployment, total (% of total labor force) (modelled ILO estimate)",39,Male (25+ years)
AFR0032,"Unemployment, total (% of total labor force) (modelled ILO estimate)",40,Female (25+ years)
AFR0032,"Unemployment, total (% of total labor force) (modelled ILO estimate)",999,Not Applicable
AFR0033,Individuals using the Internet (% of population),8,Male
AFR0033,Individuals using the Internet (% of population),9,Female
AFR0033,Individuals using the Internet (% of population),28,Both sexes (male and female)
AFR0033,Individuals using the Internet (% of population),29,Total
AFR0034,Proportion of seats held by women in national parliaments (%),9,Female
AFR0034,Proportion of seats held by women in national parliaments (%),66,Female (15-49 years)
AFR0035,"IHR Coordination, Communication and Advocacy",28,Both sexes (male and female)
AFR0035,"IHR Coordination, Communication and Advocacy",29,Total
AFR0035,"IHR Coordination, Communication and Advocacy",999,Not Applicable
AFR0036,Real Time Surveillance,29,Total
AFR0036,Real Time Surveillance,999,Not Applicable
AFR0039,Risk Communication,29,Total
AFR0039,Risk Communication,999,Not Applicable
AFR0047,Availability of basic amenities (%),29,Total
AFR0047,Availability of basic amenities (%),999,Not Applicable
AFR0049,Service availability index (%),29,Total
AFR0049,Service availability index (%),999,Not Applicable
AFR0050,Prevention of mother-to-child transmission (PMTCT) of HIV,9,Female
AFR0050,Prevention of mother-to-child transmission (PMTCT) of HIV,29,Total
AFR0050,Prevention of mother-to-child transmission (PMTCT) of HIV,42,Female (15+ years)
AFR0052,Proportion of the population with large household expenditure on health as a share of total household consumption or income [SDG 3.8.2],11,Rural
AFR0052,Proportion of the population with large household expenditure on health as a share of total household consumption or income [SDG 3.8.2],12,Urban
AFR0052,Proportion of the population with large household expenditure on health as a share of total household consumption or income [SDG 3.8.2],29,Total
AFR0052,Proportion of the population with large household expenditure on health as a share of total household consumption or income [SDG 3.8.2],999,Not Applicable
AFR0055,Intimate partner violence and injuries,9,Female
AFR0055,Intimate partner violence and injuries,11,Rural
AFR0055,Intimate partner violence and injuries,12,Urban
AFR0055,Intimate partner violence and injuries,73,15-19 years
AFR0055,Intimate partner violence and injuries,74,20-24 years
AFR0055,Intimate partner violence and injuries,75,25-29 years
AFR0055,Intimate partner violence and injuries,1053,30-39 years
AFR0055,Intimate partner violence and injuries,1054,40-49 years
AFR0056,Smoking (%),28,Both sexes (male and female)
AFR0056,Smoking (%),66,Female (15-49 years)
AFR0056,Smoking (%),67,Male (15-49 years)
AFR0056,Smoking (%),98,Male (50-54 years)
AFR0058,Private Insurance as % of Private Health Expenditure (PvtHE),29,Total
AFR0058,Private Insurance as % of Private Health Expenditure (PvtHE),999,Not Applicable
AFR0059,Availability of national list of approved medical devices for procurement or reimbursement,999,Not Applicable
AFR0060,Availability of national standards or recommended lists of medical devices,999,Not Applicable
AFR0061,Availability of technical specifications of medical devices to support procurement or donations,999,Not Applicable
AFR0062,Civil registration coverage of births (%),3,Under Fives ( 0-4 Years)
AFR0062,Civil registration coverage of births (%),28,Both sexes (male and female)
AFR0062,Civil registration coverage of births (%),999,Not Applicable
AFR0062,Civil registration coverage of births (%),1042,>5 years
AFR0063,Civil registration coverage of cause-of-death (%),999,Not Applicable
AFR0064,Community and traditional health workers density (per 1000 population),28,Both sexes (male and female)
AFR0064,Community and traditional health workers density (per 1000 population),999,Not Applicable
AFR0065,Health Capital Expenditure (HK) % Gross Domestic Product (GDP),999,Not Applicable
AFR0066,Other health workers density (per 1000 population),28,Both sexes (male and female)
AFR0066,Other health workers density (per 1000 population),29,Total
AFR0066,Other health workers density (per 1000 population),999,Not Applicable
AFR0067,Other Private Health Expenditure (OTHER) as % Current Health Expenditure (CHE),999,Not Applicable
AFR0068,Out-of-pocket (OOPS) as % of Private health expenditure (PvtHE),999,Not Applicable
AFR0069,Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,999,Not Applicable
AFR0070,Out-of-Pocket Expenditure (OOPS) per Capita in US$,999,Not Applicable
AFR0071,Total density per 100 000 population: District/rural hospitals,29,Total
AFR0071,Total density per 100 000 population: District/rural hospitals,999,Not Applicable
AFR0072,Total density per 100 000 population: Health centres,29,Total
AFR0072,Total density per 100 000 population: Health centres,58,Mumps
AFR0072,Total density per 100 000 population: Health centres,999,Not Applicable
AFR0073,Total density per 100 000 population: Health posts,29,Total
AFR0073,Total density per 100 000 population: Health posts,999,Not Applicable
AFR0074,Total density per 100 000 population: Hospitals,29,Total
AFR0074,Total density per 100 000 population: Hospitals,999,Not Applicable
AFR0075,Total density per 100 000 population: Provincial hospitals,29,Total
AFR0075,Total density per 100 000 population: Provincial hospitals,999,Not Applicable
AFR0076,Total density per 100 000 population: Specialized hospitals,29,Total
AFR0076,Total density per 100 000 population: Specialized hospitals,999,Not Applicable
AFR0077,Total density per million females aged from 50 to 69 years old: Mammography units,999,Not Applicable
AFR0078,Total density per million population: Computed tomography units,999,Not Applicable
AFR0079,Total density per million population: Gamma camera or Nuclear medicine,999,Not Applicable
AFR0080,Total density per million population: Linear Accelerator (numeric),999,Not Applicable
AFR0081,Total density per million population: Magnetic Resonance Imaging,999,Not Applicable
AFR0082,Total density per million population: Positron Emission tomography,999,Not Applicable
AFR0083,Total density per million population: Radiotherapy units,999,Not Applicable
AFR0084,Total density per million population: Telecobalt Unit,999,Not Applicable
AFR0085,Types of lists recommending health technology for high burden diseases,999,Not Applicable
AFR0086,Healthy life expectancy (HALE) at age 60 (years),8,Male
AFR0086,Healthy life expectancy (HALE) at age 60 (years),9,Female
AFR0086,Healthy life expectancy (HALE) at age 60 (years),28,Both sexes (male and female)
AFR0087,Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%),28,Both sexes (male and female)
AFR0087,Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%),999,Not Applicable
AFR0088,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),999,Not Applicable
AFR0089,Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,999,Not Applicable
AFR0090,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,999,Not Applicable
AFR0091,Domestic Private Health Expenditure (PVT-D) per Capita in PPP Int$,999,Not Applicable
AFR0092,Domestic Private Health Expenditure (PVT-D) per Capita in US$,999,Not Applicable
AFR0093,External Health Expenditure (EXT) as % of Current Health Expenditure (CHE),999,Not Applicable
AFR0094,External Health Expenditure (EXT) per Capita in PPP Int$,999,Not Applicable
AFR0095,External Health Expenditure (EXT) per Capita in US$,999,Not Applicable
AFR0096,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),8,Male
AFR0096,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),9,Female
AFR0096,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),28,Both sexes (male and female)
AFR0097,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),109,Female (15-19 years)
AFR0097,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),999,Not Applicable
AFR0098,Proportion of population living below the national poverty line (%),8,Male
AFR0098,Proportion of population living below the national poverty line (%),9,Female
AFR0098,Proportion of population living below the national poverty line (%),11,Rural
AFR0098,Proportion of population living below the national poverty line (%),12,Urban
AFR0098,Proportion of population living below the national poverty line (%),27,65+ years
AFR0098,Proportion of population living below the national poverty line (%),28,Both sexes (male and female)
AFR0098,Proportion of population living below the national poverty line (%),29,Total
AFR0098,Proportion of population living below the national poverty line (%),70,0-4 years
AFR0098,Proportion of population living below the national poverty line (%),1039,5-14 years
